ID Wedge_name Max_depth young brush_friction print_frction radius_diff
128 '45' 0.033 2700000.0 44.0 24.0 8.75e-05
129 '45' 0.033 2700000.0 44.0 24.0 0.0001
130 '60' 0.033 2700000.0 44.0 24.0 0.0
131 '60' 0.033 1600000.0 44.0 24.0 0.0
132 '60' 0.033 1737500.0 44.0 24.0 0.0
133 '60' 0.033 1875000.0 44.0 24.0 0.0
134 '60' 0.033 2012500.0 44.0 24.0 0.0
135 '60' 0.033 2150000.0 44.0 24.0 0.0
136 '60' 0.033 2287500.0 44.0 24.0 0.0
137 '60' 0.033 2425000.0 44.0 24.0 0.0
138 '60' 0.033 2562500.0 44.0 24.0 0.0
139 '60' 0.033 2837500.0 44.0 24.0 0.0
140 '60' 0.033 2975000.0 44.0 24.0 0.0
141 '60' 0.033 3112500.0 44.0 24.0 0.0
142 '60' 0.033 3250000.0 44.0 24.0 0.0
143 '60' 0.033 3387500.0 44.0 24.0 0.0
144 '60' 0.033 3525000.0 44.0 24.0 0.0
145 '60' 0.033 3662500.0 44.0 24.0 0.0
146 '60' 0.033 3800000.0 44.0 24.0 0.0
147 '60' 0.033 2700000.0 42.0 24.0 0.0
148 '60' 0.033 2700000.0 42.25 24.0 0.0
149 '60' 0.033 2700000.0 42.5 24.0 0.0
150 '60' 0.033 2700000.0 42.75 24.0 0.0
151 '60' 0.033 2700000.0 43.0 24.0 0.0
152 '60' 0.033 2700000.0 43.25 24.0 0.0
153 '60' 0.033 2700000.0 43.5 24.0 0.0
154 '60' 0.033 2700000.0 43.75 24.0 0.0
155 '60' 0.033 2700000.0 44.25 24.0 0.0
156 '60' 0.033 2700000.0 44.5 24.0 0.0
157 '60' 0.033 2700000.0 44.75 24.0 0.0
158 '60' 0.033 2700000.0 45.0 24.0 0.0
159 '60' 0.033 2700000.0 45.25 24.0 0.0
