ID Wedge_name Max_depth young brush_friction print_frction radius_diff
192 '60' 0.033 2700000.0 44.0 24.0 7.500000000000001e-05
193 '60' 0.033 2700000.0 44.0 24.0 8.75e-05
194 '60' 0.033 2700000.0 44.0 24.0 0.0001
195 '75' 0.033 2700000.0 44.0 24.0 0.0
196 '75' 0.033 1600000.0 44.0 24.0 0.0
197 '75' 0.033 1737500.0 44.0 24.0 0.0
198 '75' 0.033 1875000.0 44.0 24.0 0.0
199 '75' 0.033 2012500.0 44.0 24.0 0.0
200 '75' 0.033 2150000.0 44.0 24.0 0.0
201 '75' 0.033 2287500.0 44.0 24.0 0.0
202 '75' 0.033 2425000.0 44.0 24.0 0.0
203 '75' 0.033 2562500.0 44.0 24.0 0.0
204 '75' 0.033 2837500.0 44.0 24.0 0.0
205 '75' 0.033 2975000.0 44.0 24.0 0.0
206 '75' 0.033 3112500.0 44.0 24.0 0.0
207 '75' 0.033 3250000.0 44.0 24.0 0.0
208 '75' 0.033 3387500.0 44.0 24.0 0.0
209 '75' 0.033 3525000.0 44.0 24.0 0.0
210 '75' 0.033 3662500.0 44.0 24.0 0.0
211 '75' 0.033 3800000.0 44.0 24.0 0.0
212 '75' 0.033 2700000.0 42.0 24.0 0.0
213 '75' 0.033 2700000.0 42.25 24.0 0.0
214 '75' 0.033 2700000.0 42.5 24.0 0.0
215 '75' 0.033 2700000.0 42.75 24.0 0.0
216 '75' 0.033 2700000.0 43.0 24.0 0.0
217 '75' 0.033 2700000.0 43.25 24.0 0.0
218 '75' 0.033 2700000.0 43.5 24.0 0.0
219 '75' 0.033 2700000.0 43.75 24.0 0.0
220 '75' 0.033 2700000.0 44.25 24.0 0.0
221 '75' 0.033 2700000.0 44.5 24.0 0.0
222 '75' 0.033 2700000.0 44.75 24.0 0.0
223 '75' 0.033 2700000.0 45.0 24.0 0.0
