ID Wedge_name Max_depth young brush_friction print_frction radius_diff
160 '60' 0.033 2700000.0 45.5 24.0 0.0
161 '60' 0.033 2700000.0 45.75 24.0 0.0
162 '60' 0.033 2700000.0 46.0 24.0 0.0
163 '60' 0.033 2700000.0 44.0 22.0 0.0
164 '60' 0.033 2700000.0 44.0 22.25 0.0
165 '60' 0.033 2700000.0 44.0 22.5 0.0
166 '60' 0.033 2700000.0 44.0 22.75 0.0
167 '60' 0.033 2700000.0 44.0 23.0 0.0
168 '60' 0.033 2700000.0 44.0 23.25 0.0
169 '60' 0.033 2700000.0 44.0 23.5 0.0
170 '60' 0.033 2700000.0 44.0 23.75 0.0
171 '60' 0.033 2700000.0 44.0 24.25 0.0
172 '60' 0.033 2700000.0 44.0 24.5 0.0
173 '60' 0.033 2700000.0 44.0 24.75 0.0
174 '60' 0.033 2700000.0 44.0 25.0 0.0
175 '60' 0.033 2700000.0 44.0 25.25 0.0
176 '60' 0.033 2700000.0 44.0 25.5 0.0
177 '60' 0.033 2700000.0 44.0 25.75 0.0
178 '60' 0.033 2700000.0 44.0 26.0 0.0
179 '60' 0.033 2700000.0 44.0 24.0 -0.0001
180 '60' 0.033 2700000.0 44.0 24.0 -8.75e-05
181 '60' 0.033 2700000.0 44.0 24.0 -7.500000000000001e-05
182 '60' 0.033 2700000.0 44.0 24.0 -6.25e-05
183 '60' 0.033 2700000.0 44.0 24.0 -5e-05
184 '60' 0.033 2700000.0 44.0 24.0 -3.7500000000000003e-05
185 '60' 0.033 2700000.0 44.0 24.0 -2.5e-05
186 '60' 0.033 2700000.0 44.0 24.0 -1.25e-05
187 '60' 0.033 2700000.0 44.0 24.0 1.25e-05
188 '60' 0.033 2700000.0 44.0 24.0 2.5e-05
189 '60' 0.033 2700000.0 44.0 24.0 3.7500000000000003e-05
190 '60' 0.033 2700000.0 44.0 24.0 5e-05
191 '60' 0.033 2700000.0 44.0 24.0 6.25e-05
