ID Wedge_name Max_depth young brush_friction print_frction radius_diff
288 '90' 0.033 2700000.0 45.0 24.0 0.0
289 '90' 0.033 2700000.0 45.25 24.0 0.0
290 '90' 0.033 2700000.0 45.5 24.0 0.0
291 '90' 0.033 2700000.0 45.75 24.0 0.0
292 '90' 0.033 2700000.0 46.0 24.0 0.0
293 '90' 0.033 2700000.0 44.0 22.0 0.0
294 '90' 0.033 2700000.0 44.0 22.25 0.0
295 '90' 0.033 2700000.0 44.0 22.5 0.0
296 '90' 0.033 2700000.0 44.0 22.75 0.0
297 '90' 0.033 2700000.0 44.0 23.0 0.0
298 '90' 0.033 2700000.0 44.0 23.25 0.0
299 '90' 0.033 2700000.0 44.0 23.5 0.0
300 '90' 0.033 2700000.0 44.0 23.75 0.0
301 '90' 0.033 2700000.0 44.0 24.25 0.0
302 '90' 0.033 2700000.0 44.0 24.5 0.0
303 '90' 0.033 2700000.0 44.0 24.75 0.0
304 '90' 0.033 2700000.0 44.0 25.0 0.0
305 '90' 0.033 2700000.0 44.0 25.25 0.0
306 '90' 0.033 2700000.0 44.0 25.5 0.0
307 '90' 0.033 2700000.0 44.0 25.75 0.0
308 '90' 0.033 2700000.0 44.0 26.0 0.0
309 '90' 0.033 2700000.0 44.0 24.0 -0.0001
310 '90' 0.033 2700000.0 44.0 24.0 -8.75e-05
311 '90' 0.033 2700000.0 44.0 24.0 -7.500000000000001e-05
312 '90' 0.033 2700000.0 44.0 24.0 -6.25e-05
313 '90' 0.033 2700000.0 44.0 24.0 -5e-05
314 '90' 0.033 2700000.0 44.0 24.0 -3.7500000000000003e-05
315 '90' 0.033 2700000.0 44.0 24.0 -2.5e-05
316 '90' 0.033 2700000.0 44.0 24.0 -1.25e-05
317 '90' 0.033 2700000.0 44.0 24.0 1.25e-05
318 '90' 0.033 2700000.0 44.0 24.0 2.5e-05
319 '90' 0.033 2700000.0 44.0 24.0 3.7500000000000003e-05
