ID Wedge_name Max_depth young friction radius_diff
0 '30' 0.033 2700000.0 44.0 0.0
1 '30' 0.033 1600000.0 44.0 0.0
2 '30' 0.033 1737500.0 44.0 0.0
3 '30' 0.033 1875000.0 44.0 0.0
4 '30' 0.033 2012500.0 44.0 0.0
5 '30' 0.033 2150000.0 44.0 0.0
6 '30' 0.033 2287500.0 44.0 0.0
7 '30' 0.033 2425000.0 44.0 0.0
8 '30' 0.033 2562500.0 44.0 0.0
9 '30' 0.033 2837500.0 44.0 0.0
10 '30' 0.033 2975000.0 44.0 0.0
11 '30' 0.033 3112500.0 44.0 0.0
12 '30' 0.033 3250000.0 44.0 0.0
13 '30' 0.033 3387500.0 44.0 0.0
14 '30' 0.033 3525000.0 44.0 0.0
15 '30' 0.033 3662500.0 44.0 0.0
16 '30' 0.033 3800000.0 44.0 0.0
17 '30' 0.033 2700000.0 42.0 0.0
18 '30' 0.033 2700000.0 42.25 0.0
19 '30' 0.033 2700000.0 42.5 0.0
20 '30' 0.033 2700000.0 42.75 0.0
21 '30' 0.033 2700000.0 43.0 0.0
22 '30' 0.033 2700000.0 43.25 0.0
23 '30' 0.033 2700000.0 43.5 0.0
24 '30' 0.033 2700000.0 43.75 0.0
25 '30' 0.033 2700000.0 44.25 0.0
26 '30' 0.033 2700000.0 44.5 0.0
27 '30' 0.033 2700000.0 44.75 0.0
28 '30' 0.033 2700000.0 45.0 0.0
29 '30' 0.033 2700000.0 45.25 0.0
30 '30' 0.033 2700000.0 45.5 0.0
31 '30' 0.033 2700000.0 45.75 0.0
