ID Wedge_name Max_depth young brush_friction print_frction radius_diff
256 '75' 0.033 2700000.0 44.0 24.0 6.25e-05
257 '75' 0.033 2700000.0 44.0 24.0 7.500000000000001e-05
258 '75' 0.033 2700000.0 44.0 24.0 8.75e-05
259 '75' 0.033 2700000.0 44.0 24.0 0.0001
260 '90' 0.033 2700000.0 44.0 24.0 0.0
261 '90' 0.033 1600000.0 44.0 24.0 0.0
262 '90' 0.033 1737500.0 44.0 24.0 0.0
263 '90' 0.033 1875000.0 44.0 24.0 0.0
264 '90' 0.033 2012500.0 44.0 24.0 0.0
265 '90' 0.033 2150000.0 44.0 24.0 0.0
266 '90' 0.033 2287500.0 44.0 24.0 0.0
267 '90' 0.033 2425000.0 44.0 24.0 0.0
268 '90' 0.033 2562500.0 44.0 24.0 0.0
269 '90' 0.033 2837500.0 44.0 24.0 0.0
270 '90' 0.033 2975000.0 44.0 24.0 0.0
271 '90' 0.033 3112500.0 44.0 24.0 0.0
272 '90' 0.033 3250000.0 44.0 24.0 0.0
273 '90' 0.033 3387500.0 44.0 24.0 0.0
274 '90' 0.033 3525000.0 44.0 24.0 0.0
275 '90' 0.033 3662500.0 44.0 24.0 0.0
276 '90' 0.033 3800000.0 44.0 24.0 0.0
277 '90' 0.033 2700000.0 42.0 24.0 0.0
278 '90' 0.033 2700000.0 42.25 24.0 0.0
279 '90' 0.033 2700000.0 42.5 24.0 0.0
280 '90' 0.033 2700000.0 42.75 24.0 0.0
281 '90' 0.033 2700000.0 43.0 24.0 0.0
282 '90' 0.033 2700000.0 43.25 24.0 0.0
283 '90' 0.033 2700000.0 43.5 24.0 0.0
284 '90' 0.033 2700000.0 43.75 24.0 0.0
285 '90' 0.033 2700000.0 44.25 24.0 0.0
286 '90' 0.033 2700000.0 44.5 24.0 0.0
287 '90' 0.033 2700000.0 44.75 24.0 0.0
